id_lieu;annee_tournage;type_tournage;nom_tournage;nom_realisateur;nom_producteur;adresse_lieu;ardt_lieu;date_debut;date_fin;coord_x;coord_y;geo_shape;geo_point_2d;actors;runtime;Genre;Metascore;Released;Rating;nb_votes
2016-1182;2016;Long métrage;SOUS LE MEME TOIT;DOMINIQUE FARRUGIA;EUROPA CORP;AVENUE  DES PORTUGAIS;75016;2016-08-08;2016-08-08;2.293356;48.871209;"{""type"": ""Point"", ""coordinates"": [2.293356000528184, 48.87120899968183]}";48.8712089997,2.29335600053;Gilles Lellouche, Louise Bourgoin, Manu Payet, Marilou Berry;97 min;Comedy, Family;N/A;19 Apr 2017;5.3;832
2017-539;2017;Série Web;I-ART;Alexandre DA SILVA;WOOW YOUR LIFE;55 quai de grenelle, 75015 paris;75015;2017-09-19;2017-09-19;2.28395691;48.85052715;"{""type"": ""Point"", ""coordinates"": [2.283956905665997, 48.85052715284078]}";48.8505271528,2.28395690567;Anaïs Parello, Joy Esther, Marc Arnaud, Marco Horanieh;N/A;Sci-Fi;N/A;N/A;N/A;N/A
2016-1183;2016;Long métrage;LES EX;MAURICE BARTHELEMY;RADAR FILMS;PARC  DES BUTTES CHAUMONT;75019;2016-09-22;2016-09-22;2.387537;48.879186;"{""type"": ""Point"", ""coordinates"": [2.387536999394646, 48.879185999860795]}";48.8791859999,2.38753699939;Jean-Paul Rouve, Patrick Chesnais, Arnaud Ducret, Baptiste Lecaplain;84 min;Comedy;N/A;21 Jun 2017;5.6;638
2017-554;2017;Long métrage;voyez comme on danse;michel Blanc;les films du 24;104 boulevard malesherbes, 75017 paris;75017;2017-09-25;2017-09-25;2.31172579;48.88175971;"{""type"": ""Point"", ""coordinates"": [2.311725786871543, 48.881759713430746]}";48.8817597134,2.31172578687;Karin Viard, Carole Bouquet, Charlotte Rampling, Jean-Paul Rouve;88 min;Comedy, Drama;N/A;10 Oct 2018;5.6;423
2016-2679;2016;Long métrage;SIMONE BENLOULOU;MYRIAM AZIZA;INCOGNITA;33  BOULEVARD  DE LA CHAPELLE;75010;2016-10-24;2016-10-28;2.360114;48.884214;"{""type"": ""Point"", ""coordinates"": [2.360114000164056, 48.884213999763396]}";48.8842139998,2.36011400016;Sarah Stern, Jean-Christophe Folly, Julia Piaton, Catherine Jacob;95 min;Comedy, Drama;N/A;24 Jun 2018;5.3;1,488
2017-563;2017;Série TV;BER;Hugo Blick;Gem Films;23 rue du général brunet, 75019 paris;75019;2017-09-23;2017-09-23;2.39120972;48.88090776;"{""type"": ""Point"", ""coordinates"": [2.3912097163388, 48.88090776085297]}";48.8809077609,2.39120971634;Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter;105 min;Drama, Family, Fantasy, Romance;67;13 Mar 2015;6.9;163,278
2016-2690;2016;Série TV;NOIR ENIGMA;MANUEL BOURSINHAC;ASTHARTE ET COMPAGNIE;RUE  CLOTAIRE;75005;2016-01-09;2016-01-09;2.344708;48.845626;"{""type"": ""Point"", ""coordinates"": [2.3447080001074703, 48.845625999754105]}";48.8456259998,2.34470800011;Patrick Chesnais, Camille Panonacle, Andréa Ferréol, Rufus;98 min;Crime, Thriller;N/A;20 Oct 2017;6.2;12
2017-442;2017;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;avenue victor hugo, 75116 paris;75116;2017-08-26;2017-08-26;2.28502314;48.86952423;"{""type"": ""Point"", ""coordinates"": [2.2850231379276202, 48.869524228077424]}";48.8695242281,2.28502313793;;;;;;;
2016-2720;2016;Long métrage;L'ASCENSION;LUDOVIC BERNARD;DE L'AUTRE COTE DU DU PERIPH;PLACE  DE CLICHY;75017;2016-02-26;2016-02-26;2.326873;48.883747;"{""type"": ""Point"", ""coordinates"": [2.326872999524795, 48.88374699958519]}";48.8837469996,2.32687299952;Ahmed Sylla, Alice Belaïdi, Kévin Razy, Nicolas Wanczycki;103 min;Comedy, Drama, Romance;N/A;25 Jan 2017;6.9;6,164
2017-454;2017;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;port de l'hôtel de ville, 75004 paris;75004;2017-09-05;2017-09-05;2.35579708;48.85370147;"{""type"": ""Point"", ""coordinates"": [2.355797084385895, 48.853701466798235]}";48.8537014668,2.35579708439;Thomas Solivérès, Victor Meutelet, Éric Caravaca, Hippolyte Girardot;N/A;History;N/A;08 Feb 2021;7.7;15
2016-2724;2016;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;87  AVENUE  DE VILLIERS;75017;2016-03-23;2016-03-24;2.301948;48.884206;"{""type"": ""Point"", ""coordinates"": [2.301948000518106, 48.8842059998838]}";48.8842059999,2.30194800052;Edouard Baer, Hélène Fillières, Bakary Sangaré, Liliane Rovère;105 min;Adventure;N/A;N/A;5.7;16
2017-461;2017;Série TV;FIND ME IN PARIS 2;MATT BLOOM et RANDALL THORN;COTTONWOOD MEDIA;avenue hussein 1er de jordanie, 75116 paris;75116;2017-09-14;2017-09-15;2.28906637;48.86174998;"{""type"": ""Point"", ""coordinates"": [2.289066365359361, 48.86174997591285]}";48.8617499759,2.28906636536;Jessica Lord, Rik Young, Caitlin-Rose Lacey, Eubha Akilade;25 min;Comedy, Drama, Family, Fantasy, Music;N/A;14 Apr 2018;7.3;790
2016-2732;2016;Long métrage;BARBARA;MATHIEU AMALRIC;WAITING FOR CINEMA;4/6  RUE  PIERRE MOUILLARD;75020;2016-12-02;2016-12-02;2.408001;48.867323;"{""type"": ""Point"", ""coordinates"": [2.408001000085725, 48.867323000221305]}";48.8673230002,2.40800100009;Nina Hoss, Ronald Zehrfeld, Rainer Bock, Christina Hecke;105 min;Drama;86;08 Mar 2012;7.1;12,940
2017-635;2017;Série TV;NOX;Mabrouk el Mechri;Gaumont Télévision c/o Gaumont Production Télévision;16 rue etienne dolet, 75020 paris;75020;2017-10-06;2017-10-06;2.38422057;48.86770467;"{""type"": ""Point"", ""coordinates"": [2.384220572467621, 48.86770467124994]}";48.8677046712,2.38422057247;Nathalie Baye, Malik Zidi, Maïwenn, Frédéric Pierrot;52 min;Crime, Thriller;N/A;12 Mar 2018;6.6;381
2017-650;2017;Série TV;ALICE NEVERS;vincent giovanni;EGO PRoductions;place de l'ile de sein, 75014 paris;75014;2017-10-18;2017-10-18;2.33631264;48.83447079;"{""type"": ""Point"", ""coordinates"": [2.336312636945332, 48.83447079307384]}";48.8344707931,2.33631263695;Marine Delterme, Jean-Michel Tinivelli, Guillaume Carcaud, Daniel-Jean Colloredo;90 min;Crime, Drama;N/A;11 Nov 1993;5.7;168
2016-2761;2016;Long métrage;UNE SAISON EN FRANCE;MAHAMAT-SALEH HAROUN;PILI FILMS;RUE  DELOUVAIN;75019;2016-11-15;2016-11-15;2.388306;48.875706;"{""type"": ""Point"", ""coordinates"": [2.38830599941965, 48.875705999934844]}";48.8757059999,2.38830599942;Eriq Ebouaney, Sandrine Bonnaire, Aalayna Lys, Ibrahim Burama Darboe;100 min;Drama;78;19 Oct 2018;6.2;460
2017-415;2017;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;12 rue saint-vincent, 75018 paris;75018;2017-08-23;2017-08-23;2.34176321;48.88842985;"{""type"": ""Point"", ""coordinates"": [2.341763214540406, 48.88842984966934]}";48.8884298497,2.34176321454;Gábor Reisz, Katica Nagy, Zsolt Kovács, Katalin Takács;97 min;Comedy, Drama;N/A;27 Dec 2018;7.7;2,136
2016-1197;2016;Long métrage;ROCK ON 2;SHUJAAT SAUDAGAR;JET FILMS;QUAI  DE GRENELLE;75015;2016-05-23;2016-05-23;2.285572;48.851806;"{""type"": ""Point"", ""coordinates"": [2.285571999499696, 48.851806000103615]}";48.8518060001,2.2855719995;Farhan Akhtar, Shraddha Kapoor, Arjun Rampal, Purab Kohli;143 min;Drama, Music;N/A;11 Nov 2016;5.0;1,987
2017-580;2017;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;place de la concorde, 75008 paris;75008;2017-09-25;2017-09-25;2.32053484;48.8666995;"{""type"": ""Point"", ""coordinates"": [2.320534842202644, 48.866699494682805]}";48.8666994947,2.3205348422;Thomas Solivérès, Victor Meutelet, Éric Caravaca, Hippolyte Girardot;N/A;History;N/A;08 Feb 2021;7.7;15
2016-1229;2016;Long métrage;THIRST STREET;NATHAN SILVER;IN VIVO FILMS;1 AU 24  RUE  DE BEAUNE;75007;2016-08-25;2016-08-25;2.328898;48.85745;"{""type"": ""Point"", ""coordinates"": [2.328898000399649, 48.857450000245386]}";48.8574500002,2.3288980004;Anjelica Huston, Lindsay Burdge, Damien Bonnard, Esther Garrel;83 min;Comedy, Drama, Romance;71;25 Jul 2018;5.8;477
2017-589;2017;Long métrage;LA FETE DES MERES;MARIE-CASTILLE MENTION-SCHAAR;WILLOW FILMS;14 rue saint-julien le pauvre, 75005 paris;75005;2017-10-02;2017-10-03;2.34684109;48.85226749;"{""type"": ""Point"", ""coordinates"": [2.346841091825573, 48.85226748513801]}";48.8522674851,2.34684109183;Jennifer Aniston, Timothy Olyphant, Shay Mitchell, Caleb Brown;118 min;Comedy, Drama, Romance;18;29 Apr 2016;5.7;33,440
2016-1231;2016;Long métrage;SIMONE BENLOULOU;MYRIAM AZIZA;INCOGNITA;PLACE  JULES JOFFRIN;75018;2016-09-26;2016-09-26;2.344613;48.892435;"{""type"": ""Point"", ""coordinates"": [2.3446129993428553, 48.89243499960458]}";48.8924349996,2.34461299934;Sarah Stern, Jean-Christophe Folly, Julia Piaton, Catherine Jacob;95 min;Comedy, Drama;N/A;24 Jun 2018;5.3;1,488
