id_lieu;annee_tournage;type_tournage;nom_tournage;nom_realisateur;nom_producteur;adresse_lieu;ardt_lieu;date_debut;date_fin;coord_x;coord_y;geo_shape;geo_point_2d;actors;runtime;Genre;Metascore;Released;Rating;nb_votes
2019-168;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue payenne, 75003 paris;75003;2019-02-15;2019-02-16;2.36246962;48.85821901;"{""type"": ""Point"", ""coordinates"": [2.36246962418062, 48.85821901101249]}";48.858219011,2.36246962418;Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford;27 min;Comedy, Drama;N/A;16 Sep 2016;8.7;107,944
2019-169;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue bichat, 75010 paris;75010;2019-02-15;2019-02-15;2.36787378;48.87180669;"{""type"": ""Point"", ""coordinates"": [2.367873777552742, 48.871806686016164]}";48.871806686,2.36787377755;Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford;27 min;Comedy, Drama;N/A;16 Sep 2016;8.7;107,944
2019-528;2019;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;rue adolphe yvon, 75116 paris;75116;2019-05-21;2019-05-21;2.27161094;48.86404196;"{""type"": ""Point"", ""coordinates"": [2.271610942737006, 48.86404195655532]}";48.8640419566,2.27161094274;Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps;112 min;Biography, Crime, Drama, Romance;N/A;02 Apr 2021;5.4;2,063
2019-1450;2019;Série Web;Tu Préfèreres;Lise Akoka et Romane Gueret;Superstructure;21 rue augustin thierry, 75019 paris;75019;2019-10-23;2019-10-23;2.39323292;48.87615564;"{""type"": ""Point"", ""coordinates"": [2.393232921569863, 48.87615564093728]}";48.8761556409,2.39323292157;Gringe, Orelsan;2 min;Comedy;N/A;11 Feb 2016;6.9;8
2018-800;2018;Long métrage;MERVEILLES A MONTFERMEIL;Jeanne Balibar;FILM(S);rue pasteur, 75011 paris;75011;2018-07-10;2018-07-10;2.37589888;48.86236702;"{""type"": ""Point"", ""coordinates"": [2.375898877340252, 48.86236702389297]}";48.8623670239,2.37589887734;Jeanne Balibar, Ramzy Bedia, Emmanuelle Béart, Mathieu Amalric;109 min;Comedy;N/A;19 Aug 2020;3.9;194
2018-1516;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;41b quai de la loire, 75019 paris;75019;2018-12-05;2018-12-06;2.37902873;48.8876142;"{""type"": ""Point"", ""coordinates"": [2.379028729534671, 48.887614194350235]}";48.8876141944,2.37902872953;Melha Bedia, Valérie Lemercier, Alison Wheeler, Bastien Ughetto;95 min;Comedy;N/A;15 Apr 2020;5.0;628
2018-1519;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;5 avenue albert de mun, 75116 paris;75116;2018-12-06;2018-12-08;2.29147419;48.86303972;"{""type"": ""Point"", ""coordinates"": [2.29147418547214, 48.86303971716837]}";48.8630397172,2.29147418547;Melha Bedia, Valérie Lemercier, Alison Wheeler, Bastien Ughetto;95 min;Comedy;N/A;15 Apr 2020;5.0;628
2018-1544;2018;Long métrage;C'est la vie;Julien Rambaldi;RECIFILMS;1 place de breteuil, 75007 paris;75007;2018-12-11;2018-12-11;2.31224982;48.84770728;"{""type"": ""Point"", ""coordinates"": [2.312249820472198, 48.84770727879403]}";48.8477072788,2.31224982047;Jean-Pierre Bacri, Jean-Paul Rouve, Gilles Lellouche, Vincent Macaigne;117 min;Comedy, Drama, Romance;N/A;04 Oct 2017;6.9;9,722
2018-1551;2018;Long métrage;La nuit venue;Frederic Farrucci;Koro film;boulevard gouvion-saint-cyr, 75017 paris;75017;2018-12-12;2018-12-13;2.28735985;48.88304848;"{""type"": ""Point"", ""coordinates"": [2.28735985046238, 48.883048476557065]}";48.8830484766,2.28735985046;Guang Huo, Camélia Jordana, Xun Liang, Maurice Cheng;95 min;Drama;N/A;15 Jul 2020;6.1;147
2019-478;2019;Série TV;ROMANCE;Hervé HADMAR;CINETEVE;52 rue condorcet, 75009 paris;75009;2019-04-30;2019-05-01;2.34308679;48.88028864;"{""type"": ""Point"", ""coordinates"": [2.343086793647637, 48.8802886362519]}";48.8802886363,2.34308679365;Caroline Ducey, Sagamore Stévenin, François Berléand, Rocco Siffredi;84 min;Drama, Romance;49;14 Apr 1999;5.3;10,112
2018-858;2018;Série Web;La République;Simon Bouisson;Cinétévé;rue du grand prieuré, 75011 paris;75011;2018-07-26;2018-07-26;2.36879113;48.86544604;"{""type"": ""Point"", ""coordinates"": [2.368791130007619, 48.86544603537523]}";48.8654460354,2.36879113001;Thomas Chabrol, Alain Libolt, Gwenaëlle Simon, Vanessa Larré;36 min;Short;N/A;08 Mar 2010;6.2;19
2018-862;2018;Série Web;La République;Simon Bouisson;Cinétévé;18 place de la république, 75010 paris;75010;2018-07-27;2018-07-28;2.36283072;48.86796292;"{""type"": ""Point"", ""coordinates"": [2.362830719160752, 48.86796291717311]}";48.8679629172,2.36283071916;Thomas Chabrol, Alain Libolt, Gwenaëlle Simon, Vanessa Larré;36 min;Short;N/A;08 Mar 2010;6.2;19
2018-1257;2018;Long métrage;LA BELLE EPOQUE;NICOLAS BEDOS;LES FILMS DU KIOSQUE;voie dd/12, 75012 paris;75012;2018-10-16;2018-10-17;2.41461524;48.84663193;"{""type"": ""Point"", ""coordinates"": [2.414615243190571, 48.84663193262046]}";48.8466319326,2.41461524319;Daniel Auteuil, Guillaume Canet, Doria Tillier, Fanny Ardant;115 min;Comedy, Drama, Fantasy, Romance;75;02 Oct 2020;7.4;12,147
2018-1273;2018;Long métrage;DEUX MOI;CEDRIC KLAPISCH;CE QUI ME MEUT;pont saint-louis, 75004 paris;75004;2018-10-26;2018-10-26;2.35230612;48.85266597;"{""type"": ""Point"", ""coordinates"": [2.352306123421938, 48.85266596442352]}";48.8526659644,2.35230612342;François Civil, Ana Girardot, Camille Cottin, François Berléand;110 min;Comedy, Drama, Romance;N/A;11 Sep 2019;6.6;3,101
2019-235;2019;Long métrage;UN VOYAGE EN HIVER;Claus DREXLER;MANEKI FILMS;place du pont neuf, 75001 paris;75001;2019-03-12;2019-03-12;2.3413928;48.85715911;"{""type"": ""Point"", ""coordinates"": [2.341392804487251, 48.857159108116036]}";48.8571591081,2.34139280449;Baptiste Amann, Emilie Favre Bertin, Jean-Henri Compère, Catherine Frot;86 min;Drama;N/A;28 Oct 2020;6.1;25
2019-256;2019;Long métrage;LE SEL DES LARMES;Philippe Garrel;RECTANGLE PRODUCTIONS;9 rue pierre bourdan, 75012 paris;75012;2019-03-09;2019-03-09;2.39150914;48.84675077;"{""type"": ""Point"", ""coordinates"": [2.391509144431109, 48.84675076435551]}";48.8467507644,2.39150914443;Logann Antuofermo, Oulaya Amamra, André Wilms, Louise Chevillotte;100 min;Drama;62;20 Jan 2021;5.9;580
2019-537;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;103 boulevard suchet, 75016 paris;75016;2019-05-24;2019-05-24;2.25988838;48.84950862;"{""type"": ""Point"", ""coordinates"": [2.2598883809377233, 48.84950861991641]}";48.8495086199,2.25988838094;André Holland, Joanna Kulig, Leïla Bekhti, Adil Dehbi;N/A;Drama, Musical;N/A;08 May 2020;7.2;2,519
2019-1537;2019;Long métrage;Tendre et saignant;Christopher Thompson;Les Films du Cap;53 rue de saintonge, 75003 paris;75003;2019-11-18;2019-11-19;2.36491118;48.86390989;"{""type"": ""Point"", ""coordinates"": [2.364911177129406, 48.8639098910761]}";48.8639098911,2.36491117713;Géraldine Pailhas, Arnaud Ducret, Alison Wheeler, Stéphane De Groodt;91 min;Comedy, Romance;N/A;03 Mar 2021;N/A;N/A
2018-917;2018;Long métrage;Les Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;6 rue manin, 75019 paris;75019;2018-08-06;2018-08-06;2.38535658;48.88289293;"{""type"": ""Point"", ""coordinates"": [2.385356580158362, 48.88289293236372]}";48.8828929324,2.38535658016;Eddie Constantine, Diana Lorys, Anita Höfer, Mary Paz Pondal;89 min;Action, Adventure, Thriller;N/A;N/A;5.8;74
2019-197;2019;Long métrage;DOCTEUR ?;Tristan SEGUELA;Unité de Production;12 rue marbeuf, 75008 paris;75008;2019-02-26;2019-02-27;2.30274582;48.86778091;"{""type"": ""Point"", ""coordinates"": [2.302745816394078, 48.86778091293231]}";48.8677809129,2.30274581639;;;;;;;
2019-201;2019;Long métrage;Passion Simple;Danielle Arbid;LES FILMS PELLEAS;31 rue de grenelle, 75007 paris;75007;2019-02-26;2019-02-26;2.32747723;48.85373536;"{""type"": ""Point"", ""coordinates"": [2.327477229535785, 48.85373535556345]}";48.8537353556,2.32747722954;Laetitia Dosch, Sergei Polunin, Lou-Teymour Thion, Caroline Ducey;99 min;Drama, Romance;65;07 Jan 2021;6.2;85
2019-217;2019;Long métrage;Musique de Chambre;Christophe Honoré;LES FILMS PELLEAS;avenue de l'observatoire, 75005 paris;75005;2019-03-18;2019-03-18;2.33695948;48.84035619;"{""type"": ""Point"", ""coordinates"": [2.33695948295925, 48.840356193935726]}";48.8403561939,2.33695948296;Chiara Mastroianni, Benjamin Biolay, Vincent Lacoste, Kolia Abiteboul;86 min;Comedy;53;08 May 2020;6.0;1,600
2019-549;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;10 quai d'austerlitz, 75013 paris;75013;2019-05-28;2019-05-29;2.373063;48.83834873;"{""type"": ""Point"", ""coordinates"": [2.373062995366872, 48.838348731922885]}";48.8383487319,2.37306299537;André Holland, Joanna Kulig, Leïla Bekhti, Adil Dehbi;N/A;Drama, Musical;N/A;08 May 2020;7.2;2,519
2019-564;2019;Long métrage;VILLA CAPRICE;BERNARD STORA;JPG FILMS;63 quai branly, 75007 paris;75007;2019-06-04;2019-06-05;2.2955745;48.86036433;"{""type"": ""Point"", ""coordinates"": [2.2955744957986868, 48.86036432657526]}";48.8603643266,2.2955744958;Irène Jacob, Niels Arestrup, Patrick Bruel, Alaa Safi;103 min;Drama;N/A;16 Jun 2021;5.7;9
2019-566;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;59 rue claude decaen, 75012 paris;75012;2019-05-30;2019-05-30;2.39800084;48.83693269;"{""type"": ""Point"", ""coordinates"": [2.398000838590899, 48.836932693115415]}";48.8369326931,2.39800083859;André Holland, Joanna Kulig, Leïla Bekhti, Adil Dehbi;N/A;Drama, Musical;N/A;08 May 2020;7.2;2,519
2019-567;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;rue claude decaen, 75012 paris;75012;2019-05-31;2019-06-01;2.39770468;48.83723057;"{""type"": ""Point"", ""coordinates"": [2.397704682635515, 48.83723057315401]}";48.8372305732,2.39770468264;André Holland, Joanna Kulig, Leïla Bekhti, Adil Dehbi;N/A;Drama, Musical;N/A;08 May 2020;7.2;2,519
2019-587;2019;Long métrage;THE HUNTING;LEO ZHANG;SWEET DREAMS FILMS;85 rue du faubourg saint-denis, 75010 paris;75010;2019-06-05;2019-06-05;2.35483698;48.87365403;"{""type"": ""Point"", ""coordinates"": [2.354836977579875, 48.873654031488236]}";48.8736540315,2.35483697758;Sam Reid, Jessica De Gouw, Kavitha Anandasivam, Luca Asta Sardelis;N/A;Drama;N/A;01 Aug 2019;7.2;601
2019-1554;2019;Série TV;MODERN FAMILY 11;Jim Bagdonas;FROGGIE PRODUCTION;3 quai de montebello, 75005 paris;75005;2019-11-15;2019-11-15;2.34995354;48.85148189;"{""type"": ""Point"", ""coordinates"": [2.349953539162914, 48.85148188643522]}";48.8514818864,2.34995353916;Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell;22 min;Comedy, Drama, Romance;N/A;23 Sep 2009;8.4;363,937
2019-1567;2019;Série TV;Alice NEVERS;julien ZIDI;EGO PRoductions;74 quai des orfèvres, 75001 paris;75001;2019-11-16;2019-11-17;2.34150793;48.85678842;"{""type"": ""Point"", ""coordinates"": [2.341507929023692, 48.85678841728761]}";48.8567884173,2.34150792902;Marine Delterme, Jean-Michel Tinivelli, Guillaume Carcaud, Daniel-Jean Colloredo;90 min;Crime, Drama;N/A;11 Nov 1993;5.7;168
2019-1573;2019;Long métrage;TROP D'AMOUR;Frankie WALLACH;EX NIHILO;place de la fontaine timbaud, 75011 paris;75011;2019-11-20;2019-11-20;2.37134336;48.86616491;"{""type"": ""Point"", ""coordinates"": [2.371343355670967, 48.86616491239837]}";48.8661649124,2.37134335567;Bastien Bouillon, Idit Cebula, Agnès Hurstel, Hamza Meziani;78 min;Comedy, Drama;N/A;18 Oct 2020;N/A;N/A
2017-92;2017;Long métrage;BIG BANG;Cécilia Rouaud;FIRELIGHT Big Bang;rue botzaris, 75019 paris;75019;2017-03-22;2017-03-22;2.3824194800000003;48.87876467;"{""type"": ""Point"", ""coordinates"": [2.382419480364509, 48.87876466612063]}";48.8787646661,2.38241948036;Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg;22 min;Comedy, Romance;N/A;01 May 2006;8.1;731,596
2017-95;2017;Long métrage;GARDE ALTERNEE;Alexandra LECLERE;PAN EUROPEENNE;7 rue du jourdain, 75020 paris;75020;2017-03-16;2017-03-16;2.38927164;48.8747952;"{""type"": ""Point"", ""coordinates"": [2.389271644840493, 48.87479520379267]}";48.8747952038,2.38927164484;Didier Bourdon, Valérie Bonneton, Isabelle Carré, Hélène Vincent;104 min;Comedy;N/A;20 Dec 2017;5.5;764
2017-190;2017;Série Web;LOULOU;GERALDINE DE MARGERIE;La Onda productions;1 rue des montiboeufs, 75020 paris;75020;2017-03-23;2017-03-24;2.40574025;48.86613519;"{""type"": ""Point"", ""coordinates"": [2.405740249771246, 48.86613518817533]}";48.8661351882,2.40574024977;Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz;109 min;Crime, Drama, Romance;N/A;22 Feb 1930;7.8;9,957
2017-197;2017;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;2 rue turgot, 75009 paris;75009;2017-04-03;2017-04-03;2.34563865;48.87988847;"{""type"": ""Point"", ""coordinates"": [2.345638651005026, 48.87988846874771]}";48.8798884687,2.34563865101;Didier Bourdon, Valérie Bonneton, Isabelle Carré, Hélène Vincent;104 min;Comedy;N/A;20 Dec 2017;5.5;764
2017-205;2017;Long métrage;Un Cadeau du Ciel;Alain Chabat;Légendaire;20 rue du temple, 75004 paris;75004;2017-03-23;2017-03-24;2.35359686;48.85869705;"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}";48.8586970454,2.35359686051;Alain Chabat, Golshifteh Farahani, Pio Marmaï, Bruno Sanches;92 min;Comedy, Family, Fantasy;N/A;06 Dec 2017;6.3;2,268
2017-206;2017;Série TV;CHRONIQUES PARISIENNES 12;ZABOU BREITMAN;LES FILMS DU KIOSQUE;105 rue de tolbiac, 75013 paris;75013;2017-03-22;2017-03-22;2.36469941;48.82661228;"{""type"": ""Point"", ""coordinates"": [2.36469941487311, 48.82661227982868]}";48.8266122798,2.36469941487;N/A;2 min;Short;N/A;05 Nov 2015;N/A;N/A
2017-232;2017;Long métrage;Jean-François;Sergi Portabella;Surprise Alley;172 boulevard saint-germain, 75006 paris;75006;2017-04-10;2017-04-10;2.33256066;48.85413489;"{""type"": ""Point"", ""coordinates"": [2.332560661293841, 48.85413488409174]}";48.8541348841,2.33256066129;Catherine Allégret, Nicolaï Arutene, Pauline Badal, Thierry Beaufour;52 min;Drama;N/A;13 Oct 1978;N/A;N/A
2017-255;2017;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;place de la sorbonne, 75005 paris;75005;2017-04-10;2017-04-10;2.3422599;48.84866092;"{""type"": ""Point"", ""coordinates"": [2.342259900202478, 48.84866091566869]}";48.8486609157,2.3422599002;Didier Bourdon, Valérie Bonneton, Isabelle Carré, Hélène Vincent;104 min;Comedy;N/A;20 Dec 2017;5.5;764
2017-256;2017;Long métrage;Un cadeau du ciel;;Légendaire;20 rue du temple, 75004 paris;75004;2017-03-29;2017-03-30;2.35359686;48.85869705;"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}";48.8586970454,2.35359686051;Alain Chabat, Golshifteh Farahani, Pio Marmaï, Bruno Sanches;92 min;Comedy, Family, Fantasy;N/A;06 Dec 2017;6.3;2,268
2017-127;2017;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;7 rue gomboust, 75001 paris;75001;2017-03-14;2017-03-14;2.33270277;48.86731081;"{""type"": ""Point"", ""coordinates"": [2.332702765483341, 48.86731080761644]}";48.8673108076,2.33270276548;Nicolas Avinée, Naidra Ayadi, Zabou Breitman, Valeria Bruni Tedeschi;N/A;Comedy, Drama;N/A;27 Nov 2017;6.5;133
2017-5;2017;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;55 rue baudricourt, 75013 paris;75013;2017-02-13;2017-02-13;2.3631352;48.82577113;"{""type"": ""Point"", ""coordinates"": [2.363135199592029, 48.82577113005028]}";48.8257711301,2.36313519959;Nicolas Avinée, Naidra Ayadi, Zabou Breitman, Valeria Bruni Tedeschi;N/A;Comedy, Drama;N/A;27 Nov 2017;6.5;133
2017-21;2017;Long métrage;UN CADEAU DU CIEL;Alain Chabat;legendaire;place blanche, 75009 paris;75009;2017-02-28;2017-03-01;2.33240846;48.88362939;"{""type"": ""Point"", ""coordinates"": [2.332408458012074, 48.883629393823945]}";48.8836293938,2.33240845801;Alain Chabat, Golshifteh Farahani, Pio Marmaï, Bruno Sanches;92 min;Comedy, Family, Fantasy;N/A;06 Dec 2017;6.3;2,268
2017-39;2017;Long métrage;JALOUSE;Stéphane et David FOENKINOS;MANDARIN PRODUCTION;29 rue des vinaigriers, 75010 paris;75010;2017-02-27;2017-02-27;2.36253764;48.87310137;"{""type"": ""Point"", ""coordinates"": [2.3625376435397802, 48.87310136620664]}";48.8731013662,2.36253764354;Karin Viard, Dara Tombroff, Anne Dorval, Thibault de Montalembert;107 min;Comedy, Drama;N/A;08 Nov 2017;6.2;1,142
2017-308;2017;Série Web;Ramadan à Paris;Pape Amadou SY;Culture Univers;20 rue des gardes, 75018 paris;75018;2017-04-19;2017-04-19;2.35301597;48.88614587;"{""type"": ""Point"", ""coordinates"": [2.353015966114548, 48.88614587302521]}";48.886145873,2.35301596611;;;;;;;
2017-317;2017;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;18 place vendôme, 75001 paris;75001;2017-04-21;2017-04-21;2.33040959;48.86740947;"{""type"": ""Point"", ""coordinates"": [2.330409593084024, 48.867409465203956]}";48.8674094652,2.33040959308;Vincent Elbaz, Marie-Sophie Ferdane, Pierre Benezit, Blanche Gardin;98 min;Comedy;N/A;13 Apr 2018;6.3;12,684
2017-335;2017;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;48 avenue du docteur arnold netter, 75012 paris;75012;2017-08-28;2017-08-28;2.40571945;48.84406451;"{""type"": ""Point"", ""coordinates"": [2.405719447864053, 48.84406451064705]}";48.8440645106,2.40571944786;Fred Astaire, Ginger Rogers, Ralph Bellamy, Luella Gear;83 min;Comedy, Musical, Romance;N/A;02 Sep 1938;7.0;3,478
2017-342;2017;Téléfilm;UN ADULTERE;PHILIPPE HAREL;SCARLETT PRODUCTION;1 rue des périchaux, 75015 paris;75015;2017-09-05;2017-09-05;2.29681175;48.83087879;"{""type"": ""Point"", ""coordinates"": [2.296811749946997, 48.83087878467048]}";48.8308787847,2.29681174995;Isabelle Carré, Xavier Lemaître, Roxane Arnal, David Stone;99 min;Drama;N/A;02 Oct 2018;6.4;157
2017-344;2017;Série TV;THE ROMANOFFS;MATTHEW WEINER;GEM FILMS;66 rue de rivoli, 75004 paris;75004;2017-08-10;2017-08-11;2.35222456;48.85744338;"{""type"": ""Point"", ""coordinates"": [2.352224559626654, 48.85744337755998]}";48.8574433776,2.35222455963;Diane Lane, JJ Feild, Aaron Eckhart, Louise Bourgoin;60 min;Drama;N/A;12 Oct 2018;7.0;5,136
2017-350;2017;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;rue de caumartin, 75009 paris;75009;2017-08-31;2017-08-31;2.3284038;48.87420396;"{""type"": ""Point"", ""coordinates"": [2.328403798091402, 48.87420396086843]}";48.8742039609,2.32840379809;Claudia Tagbo, Hadja Traore, Amer Alwan, Biyouna;90 min;Drama;N/A;22 May 2018;6.7;44
2017-351;2017;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;17 rue pajol, 75018 paris;75018;2017-08-26;2017-08-26;2.36073114;48.88590672;"{""type"": ""Point"", ""coordinates"": [2.360731138343361, 48.88590672398592]}";48.885906724,2.36073113834;Claudia Tagbo, Hadja Traore, Amer Alwan, Biyouna;90 min;Drama;N/A;22 May 2018;6.7;44
2017-290;2017;Long métrage;Un cadeau du ciel;;Légendaire;passage josset, 75011 paris;75011;2017-04-13;2017-04-14;2.3765750900000002;48.85264131;"{""type"": ""Point"", ""coordinates"": [2.376575089747718, 48.85264130964355]}";48.8526413096,2.37657508975;Alain Chabat, Golshifteh Farahani, Pio Marmaï, Bruno Sanches;92 min;Comedy, Family, Fantasy;N/A;06 Dec 2017;6.3;2,268
2017-154;2017;Long métrage;BELLEVILLE'S COP;Rachid Bouchareb;TESSALIT PRODUCTIONS;60 boulevard de belleville, 75020 paris;75020;2017-04-07;2017-04-07;2.38082915;48.86928694;"{""type"": ""Point"", ""coordinates"": [2.380829151549554, 48.869286936913504]}";48.8692869369,2.38082915155;Omar Sy, Luis Guzmán, Biyouna, Diem Nguyen;111 min;Comedy, Crime;N/A;17 Oct 2018;4.8;1,937
2017-515;2017;Long métrage;LA FETE DES MERES;MARIE-CASTILLE MENTION-SCHAAR;WILLOW FILMS;104 avenue ledru-rollin, 75011 paris;75011;2017-09-19;2017-09-20;2.3769140699999998;48.85233442;"{""type"": ""Point"", ""coordinates"": [2.376914068744148, 48.852334417658895]}";48.8523344177,2.37691406874;Jennifer Aniston, Timothy Olyphant, Shay Mitchell, Caleb Brown;118 min;Comedy, Drama, Romance;18;29 Apr 2016;5.7;33,440
2017-530;2017;Long métrage;LE POULAIN;Mathieu Sapin;PYRAMIDE PRODUCTIONS;quai d'orsay, 75007 paris;75007;2017-09-19;2017-09-19;2.30995863;48.86256834;"{""type"": ""Point"", ""coordinates"": [2.309958629685734, 48.86256833510384]}";48.8625683351,2.30995862969;Alexandra Lamy, Finnegan Oldfield, Gilles Cohen, Valérie Karsenti;97 min;Comedy;N/A;19 Sep 2018;5.6;392
2017-533;2017;Série TV;NOX;Mabrouk el Mechri;Gaumont Télévision c/o Gaumont Production Télévision;46 rue de dunkerque, 75009 paris;75009;2017-09-18;2017-09-18;2.34886736;48.88143033;"{""type"": ""Point"", ""coordinates"": [2.348867356252097, 48.881430332529284]}";48.8814303325,2.34886735625;Nathalie Baye, Malik Zidi, Maïwenn, Frédéric Pierrot;52 min;Crime, Thriller;N/A;12 Mar 2018;6.6;381
2017-537;2017;Téléfilm;Le Temps des Egarés;Virginie Sauveur;DELANTE PRODUCTIONS;1 parvis notre-dame place jean-paul ii, 75004 paris;75004;2017-09-08;2017-09-08;2.34834717;48.8539284;"{""type"": ""Point"", ""coordinates"": [2.348347168164843, 48.85392839564361]}";48.8539283956,2.34834716816;Jean-Claude Bouillon, Jean-Paul Tribout, Pierre Maguelon, Catherine Allary;52 min;Action, Crime, Thriller;N/A;08 Jan 1982;8.6;78
2017-547;2017;Série TV;Baron noir;Antoine Chevrollier - Ziad Doueiri;KWAI;12 rue de solférino, 75007 paris;75007;2017-09-29;2017-09-29;2.32274565;48.8593827;"{""type"": ""Point"", ""coordinates"": [2.322745653269838, 48.859382701584856]}";48.8593827016,2.32274565327;Kad Merad, Anna Mouglalis, Astrid Whettnall, Lubna Gourion;55 min;Drama, Thriller;N/A;08 Feb 2016;7.8;1,188
2017-567;2017;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;33 rue de fécamp, 75012 paris;75012;2017-09-23;2017-09-23;2.39966482;48.83593087;"{""type"": ""Point"", ""coordinates"": [2.399664817536047, 48.83593087333175]}";48.8359308733,2.39966481754;Fred Astaire, Ginger Rogers, Ralph Bellamy, Luella Gear;83 min;Comedy, Musical, Romance;N/A;02 Sep 1938;7.0;3,478
2017-434;2017;Long métrage;SUN;Jonathan;Rouge International;rue jean-françois lépine, 75018 paris;75018;2017-08-27;2017-08-27;2.35669529;48.88608368;"{""type"": ""Point"", ""coordinates"": [2.356695285497985, 48.88608367931394]}";48.8860836793,2.3566952855;Issei Ogata, Robert Dawson, Kaori Momoi, Shirô Sano;110 min;Drama, History;85;18 Nov 2005;7.3;2,645
2017-673;2017;Long métrage;Premieres Vacances;Patrick Cassir;The Film;39 quai de la loire, 75019 paris;75019;2017-10-11;2017-10-12;2.37872173;48.88740489;"{""type"": ""Point"", ""coordinates"": [2.378721726249045, 48.887404885029305]}";48.887404885,2.37872172625;Jonathan Cohen, Camille Chamoux, Camille Cottin, Jérémie Elkaïm;102 min;Comedy;N/A;02 Jan 2019;5.9;1,210
2017-674;2017;Long métrage;Premieres Vacances;Patrick Cassir;The Film;39 quai de la loire, 75019 paris;75019;2017-10-11;2017-10-12;2.37872173;48.88740489;"{""type"": ""Point"", ""coordinates"": [2.378721726249045, 48.887404885029305]}";48.887404885,2.37872172625;Jonathan Cohen, Camille Chamoux, Camille Cottin, Jérémie Elkaïm;102 min;Comedy;N/A;02 Jan 2019;5.9;1,210
2017-399;2017;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;avenue winston churchill, 75008 paris;75008;2017-08-25;2017-08-26;2.3139305;48.866968;"{""type"": ""Point"", ""coordinates"": [2.313930498022448, 48.866968001641524]}";48.8669680016,2.31393049802;;;;;;;
2017-401;2017;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;10 avenue d'iéna, 75116 paris;75116;2017-08-24;2017-08-25;2.29321926;48.86378335;"{""type"": ""Point"", ""coordinates"": [2.293219262639846, 48.86378334901927]}";48.863783349,2.29321926264;;;;;;;
2017-403;2017;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;28 place de la bourse, 75002 paris;75002;2017-08-23;2017-08-24;2.34185526;48.86940492;"{""type"": ""Point"", ""coordinates"": [2.341855261340874, 48.86940491808899]}";48.8694049181,2.34185526134;;;;;;;
2017-410;2017;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;21 rue paul albert, 75018 paris;75018;2017-08-23;2017-08-23;2.34507822;48.88746534;"{""type"": ""Point"", ""coordinates"": [2.34507822244101, 48.88746534249334]}";48.8874653425,2.34507822244;Gábor Reisz, Katica Nagy, Zsolt Kovács, Katalin Takács;97 min;Comedy, Drama;N/A;27 Dec 2018;7.7;2,136
2017-416;2017;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;1 place de la république dominicaine, 75008 paris;75008;2017-08-25;2017-08-25;2.30925348;48.88027314;"{""type"": ""Point"", ""coordinates"": [2.309253478937685, 48.88027313670672]}";48.8802731367,2.30925347894;Gábor Reisz, Katica Nagy, Zsolt Kovács, Katalin Takács;97 min;Comedy, Drama;N/A;27 Dec 2018;7.7;2,136
2017-417;2017;Long métrage;Mauvaises Herbes;Kheiron;Païva Films;place de la république, 75011 paris;75011;2017-09-01;2017-09-01;2.36479185;48.86635144;"{""type"": ""Point"", ""coordinates"": [2.364791850060801, 48.86635144192642]}";48.8663514419,2.36479185006;Kheiron, Catherine Deneuve, André Dussollier, Louison Blivet;100 min;Comedy;N/A;21 Nov 2018;7.3;4,460
