;Comédie Dramatique;La méridienne; Jean-François Amiguet;Jérôme Anger, Kristin Scott Thomas, Sylvie Orcier ;1987;15-juin-88;Montpellier, Lunel ;;AO Productions, CAB Productions, Télévision Suisse Romande
;Comédie;Le bonheur se porte large;Alex Metayer;Alex Metayer, Laure Duthilleul, Marie Rivière;1987;15/06/1988;Montpellier ;;Xandro films, IMA Productions
;Drame / Policier;Le pull over rouge;Michel Drach;Serge Avédikian, Michelle Marquais;1979;07-nov-79;Montpellier ;;Michel Drach/ Sociétés de production : Gaumont et Port-Royal Films
;Comédie dramatique / Romance;L'homme qui aimait les femmes;François Truffaut;Charles Denner, Brigitte Fossey;1977;27-avr-77;Montpellier ;;Marcel Berbert (non crédité au générique) pour les Films du Carrosse
;Comédie;Un mari, c'est un mari;Serge Friedman;Louis Velle, Frédérique Hébrard, Marco Perrin;1976;15-déc-76;Fontcaude, Montpellier (Quartier La Paillade) + Grau du Roi;;"FR3 Cinéma, Koba Films
Distributeur France : Cinéma International Corporation (C.I.C.)"
;Drame;Deux hommes dans la ville;José Giovanni;Alain Delon, Jean Gabin, Bernard Giraudeau, Gérard Depardieu;mai-73;25-oct-73;Montpellier ;;Adele Production (Alain Delon), Medusa Produzione (Rome) - (Franco-Italienne)
;Comédie;L'emmerdeur;Edouard Molinaro;Lino Ventura et Jacques Brel;1973;sept-73;Castries, Montpellier, Saint-Jean-de-Védas;;Georges Dancigers et Alexandre Mnouchkine / Sociétés de Production: Les Films Ariane, Mondex Films, Océania Films et Rizzoli Film (Rome)
;Drame;Le Guerillero et celui qui n'y croyait pas;Antoine D'Ormesson;Michel del Castillo, Krista Nell ;1967;oct-69;Montpellier;;Sumer Films
;Comédie Dramatique;La Dérive ou Une fille à la dérive;Paula Delsol;Jacqueline Vandal, Lucien Barjon, Paulette Dubost, Jean-François Calvé;1962;19-août-64;Château de la Mogère, Montpellier, (Palavas);;Productions Cinématographiques du Languedoc
;Drame;Les filles sèment le vent;Louis Soulanes;Scilla Gabel, Françoise Saint-Laurent, Eva Damien;1960;21-juin-61;Palavas, Montpellier ;;P.I.P. - Paris Inter Productions (Paris), Contact Organisation,Transmonde Film (Rome)
;Drame;Prisons de femmes;Roger Richebé;Viviane Romance et Renée St Cyr;1938;;Montpellier ;;Les Films Roger Richebé
Type;Genre;Titre;Réalisateur;Acteurs;Tournage à Mntp;Sortie en France;Lieux filmés;Prix et nominations;Producteur et Société de production
Séries;Série TV Historique (8 épisodes);Félicien Grevèche;Michel Wyn;Sylvain Joubert, Jenny Clève, Gérard Darrieu, Anne-Marie Besse, Claude Brosset, Maurice Chevit, Pierre Santini, Catherine Wilkening, Gabriel Cattand, Henri Virlojeux, Pariel Eric, Franck Dubosc;;17/09/1986;Montpellier pharmacie de , Parc naturel régional;Sept d'or 1987 : Meilleur feuilleton;Antenne 2
Type;Genre;Titre;Réalisateur;Acteurs;Tournage à Mntp;Sortie en France;Lieux filmés;Prix et nominations;Producteur et Société de production
COURT METRAGE;Documentaire;C'est simple, non?;Anna Zisman ;;Du 1 Janvier 2003 au 30 Janvier 2003 ;26-juin-05;Montpellier;;"Anna Zisman 
Distribution
Pharos "
;3 Documentaires de 52 min;Transoccitan : de l'Atlantique à l'Aveyron;Eric Eratostène ;"
Roland Pécout ";Du 1 Mai 2007 au 30 Juin 2007 ;;Carcassonne, Ganges, Lastours, Lodève, Montpellier, Sète ;;AMDA / Diffuseur: France 3 Méditerranée, France 3 Aquitaine 
